City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,Haines Junction,60.7522,-137.5108,3.15,85,14,1.14,CA,2022-12-04 00:16:29
246,Nanortalik,60.1432,-45.2371,24.58,83,50,13.09,GL,2022-12-04 00:16:29
247,Ambilobe,-13.2,49.05,73.6,89,63,3.78,MG,2022-12-04 00:16:29
248,Wenchi,7.7392,-2.1046,71.67,89,64,4.21,GH,2022-12-04 00:16:20
249,Cayenne,4.9333,-52.3333,73.44,94,0,2.3,GF,2022-12-04 00:13:28
250,Taoudenni,22.6783,-3.9836,72.61,18,0,7.74,ML,2022-12-04 00:16:30
251,Dunedin,-45.8742,170.5036,66.79,50,100,4.0,NZ,2022-12-04 00:13:59
252,Eichstatt,48.8833,11.1833,33.48,93,100,4.61,DE,2022-12-04 00:16:31
253,Port Said,31.2565,32.2841,68.47,65,23,11.97,EG,2022-12-04 00:16:31
254,Cidreira,-30.1811,-50.2056,72.28,97,99,5.79,BR,2022-12-04 00:16:32
255,Okha,53.5739,142.9478,3.06,91,72,18.77,RU,2022-12-04 00:16:32
256,Nelson Bay,-32.7167,152.15,73.45,70,43,8.99,AU,2022-12-04 00:16:33
257,Esperance,-33.8667,121.9,64.94,76,100,14.09,AU,2022-12-04 00:16:33
258,Vitim,59.4511,112.5578,0.07,96,100,11.79,RU,2022-12-04 00:16:34
259,Sao Felix Do Xingu,-6.6447,-51.995,72.1,99,99,1.9,BR,2022-12-04 00:16:34
260,Asau,46.4333,26.4,29.32,96,100,2.8,RO,2022-12-04 00:16:35
261,Humaita,-7.5061,-63.0208,75.11,85,60,2.64,BR,2022-12-04 00:16:37
262,Kaitangata,-46.2817,169.8464,63.84,51,99,13.11,NZ,2022-12-04 00:15:22
263,Honningsvag,70.9821,25.9704,28.15,74,40,17.27,NO,2022-12-04 00:16:39
264,Ostrovnoy,68.0531,39.5131,19.53,93,63,10.07,RU,2022-12-04 00:16:39
265,Slave Lake,55.2834,-114.769,17.67,64,66,13.47,CA,2022-12-04 00:14:14
266,Cabo San Lucas,22.8909,-109.9124,84.51,54,0,9.22,MX,2022-12-04 00:13:32
267,Neyshabur,36.2133,58.7958,38.3,60,56,1.66,IR,2022-12-04 00:16:40
268,Chicama,-7.8447,-79.1469,63.14,78,37,6.51,PE,2022-12-04 00:16:40
269,Yulara,-25.2406,130.9889,90.5,11,0,11.72,AU,2022-12-04 00:16:42
270,Ulaanbaatar,47.9077,106.8832,-13.14,88,46,1.28,MN,2022-12-04 00:14:54
271,Puerto Rico,-26.796,-55.024,70.52,97,82,1.36,AR,2022-12-04 00:16:42
272,Teguldet,57.3064,88.1667,-3.55,95,98,5.86,RU,2022-12-04 00:16:43
273,Biak,-0.9131,122.8766,79.68,77,100,0.98,ID,2022-12-04 00:16:44
274,Port Macquarie,-31.4333,152.9167,70.9,58,89,6.51,AU,2022-12-04 00:16:45
275,Begoro,6.3871,-0.3774,71.01,91,21,3.06,GH,2022-12-04 00:16:46
276,Broome,42.2506,-75.833,41.85,71,100,16.11,US,2022-12-04 00:16:46
277,Mahebourg,-20.4081,57.7,73.69,83,40,2.3,MU,2022-12-04 00:16:46
278,Faanui,-16.4833,-151.75,80.67,78,18,19.24,PF,2022-12-04 00:16:47
279,Banda Aceh,5.5577,95.3222,78.19,79,100,3.85,ID,2022-12-04 00:16:47
280,Sergeyevka,53.88,67.4158,-6.5,93,18,4.0,KZ,2022-12-04 00:16:48
281,Camacha,33.0833,-16.3333,56.62,82,40,9.22,PT,2022-12-04 00:16:49
282,Tibacuy,4.3511,-72.4564,77.25,74,88,6.26,CO,2022-12-04 00:16:49
283,Qasigiannguit,68.8193,-51.1922,28.65,90,94,6.6,GL,2022-12-04 00:16:49
284,Pavlovka,52.6897,47.1405,4.26,93,14,4.38,RU,2022-12-04 00:16:50
285,Kavaratti,10.5669,72.642,82.0,73,97,7.18,IN,2022-12-04 00:16:50
286,Bokoro,12.3807,17.0568,79.5,21,51,11.65,TD,2022-12-04 00:16:51
287,Port Keats,-14.25,129.55,89.87,49,83,7.65,AU,2022-12-04 00:16:51
288,Juneau,58.3019,-134.4197,30.22,100,16,2.46,US,2022-12-04 00:15:25
289,Boende,-0.2167,20.8667,70.07,98,94,1.59,CD,2022-12-04 00:16:52
290,Saldanha,-33.0117,17.9442,57.25,74,92,21.79,ZA,2022-12-04 00:16:52
291,Severo-Yeniseyskiy,60.3725,93.0408,-16.37,100,86,3.78,RU,2022-12-04 00:16:53
292,Gazanjyk,39.2446,55.5154,34.07,44,96,13.89,TM,2022-12-04 00:16:53
293,Sao Joao Da Barra,-21.6403,-41.0511,73.49,92,100,17.31,BR,2022-12-04 00:16:54
